DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1111/j.1744-7909.2005.00143.x,,,"Effects of Logging on the Genetic Diversity of Quercus tiaoloshanica Chun et Ko in a Tropical Montane Forest of Hainan Island, Southern China",": Quercus tiaoloshanica Chun et Ko, which has a narrow range of distribution, is one of the important endemic species of the tropical montane rain forest on Hainan Island, southern China. Long-term logging and habitat destruction have resulted in population decline and distribution retreat of Q. tiaoloshanica. To determine the impact of logging on the genetic diversity of Q. tiaoloshanica, the authors investigated the genetic structures using amplified fragment length polymorphism markers in four regenerated stands after logging and in one unlogged stand. Compared with the unlogged stand, the effective number of alleles per locus dropped by 1.0% in selective logging stands and by 2.0% in clear logging stands, corresponding to reductions of 3.8% and 5.2%, respectively, in mean Nei's gene diversity and 2.9% and 3.5%, respectively, in mean Shannon diversity index. No substantial genetic erosion was detected in any of the regenerated stands owing to the high tree density and high heterogeneity of the Q. tiaoloshanica stands investigated. Meanwhile, there was no natural regeneration of the species observed in a Dacrydium pierrei Hickel plantation 700 m away from the regenerated stands, suggesting the limited ability of seed dispersal of Q. tiaoloshanica. Clear logging should be undertaken cautiously because the total number of plant species dropped by 15.2% in the clear-logged stands compared with the unlogged stand. To conserve the genetic diversity of this species, as well as the plant biodiversity of tropical forests, the habitats of Q. tiaoloshanica should be protected against exploitation in terms of agricultural or other forms of land use, and some mature trees should be preserved as seed sources to maintain an adequate regeneration base for this species in the management of logging.



(Managing editor: Ya-Qin HAN)","Jingwu Zheng,Jian-Wei Zheng,Shuqing An,Shu-Qing An,Chinho Lin,Lin Chen,Xin Leng,Xin Leng,Zhongsheng Wang,Zhongsheng Wang,Haitao Xiang,Hua-Jun Xiang",Journal of Integrative Plant Biology,2005
10.1111/j.1469-8137.2008.02733.x,19140949,,Stem responses to damage: the evolutionary ecology of Quercus species in contrasting fire regimes.,"Summary


•
The ability of tree stems to recover from damage is critical for tree survival and may explain species distributions across disturbance regimes. Two primary responses to stem damage, decay compartmentalization and wound closure, act in concert to limit decay and pathogen spread. A previous study demonstrated a tradeoff between wound responses that varied with anatomical traits, but its wide taxonomic range made it hard to analyze responses in an evolutionary context.

•
Here, we tested the stem wound responses of 13 species of Quercus inhabiting three habitats across a gradient of fire intensity. We also quantified anatomical and structural traits and phylogenetic position, in order to assess the relative contributions of ecological adaptation and phylogenetic history in determining traits.

•
Xylem anatomical traits were phylogenetically constrained, while phloem traits and damage responses varied with habitat. Across habitats, hammock and sandhill species closed bark wounds effectively, whereas scrub species limited the spread of xylem decay. There was a tradeoff between wound closure and decay compartmentalization within the white+live oaks.

•
The fact that some wound response traits are phylogenetically constrained while others respond to ecological pressures suggests that damage responses integrate mechanisms operating at several levels within plants.","Claudia Romero,Claudia Romero,Benjamin M. Bolker,Benjamin M. Bolker,Christine E. Edwards,Christine E. Edwards",New Phytologist,2009
10.1111/j.1365-294x.2009.04326.x,19754515,,"Relative contribution of contemporary pollen and seed dispersal to the effective parental size of seedling population of California valley oak (Quercus lobata, Née).","For plant populations, gene movement through pollen and seed dispersal governs the size of local genetic neighbourhoods and shapes the opportunities for natural selection and genetic drift. A critical question is how together these two processes influence the evolutionary dynamics of local populations. To assess the respective contributions of pollen and seed flow, we propose a novel indirect assessment of the separate male and female gametic contributions to total effective parental size (Ne), based on parental correlations estimated via kinship coefficients, that can be applied to data sets that include unambiguous genotypes for male and female gametic contributions. Using the endemic Californian valley oak (Quercus lobata) as our study species, we apply this method to a set of microsatellite genotypes for two distinct ecological sets of naturally recruiting seedlings with acorns attached. We found that the effective numbers of contributing male parents (Nep) exceed effective numbers of female parents (Nem) for seedlings established beneath adult trees (Nep=8.1 and Nem=1.1), as well as for seedlings established away from adult trees (Nep=15.4 and Nem=2.7), illustrating that seed dispersal enhances pollen dispersal and increases the effective number of seed sources in open seedling patches. The resulting effective parental size of seedling populations translates into smaller effective numbers of parents for undispersed vs. dispersed seedlings (Ne=3.6 and Ne=6.7, respectively). This study introduces a novel statistic method and provides important new evidence that, on a short-term temporal scale, seed dispersal shapes the local neighbourhood size of new recruits.","Delphine Grivet,Delphine Grivet,Juan J. Robledo‐Arnuncio,J. J. Robledo-Arnuncio,Peter E. Smouse,Peter E. Smouse,Victoria L. Sork,Victoria L. Sork",Molecular Ecology,2009
10.1111/j.1365-294x.2006.03083.x,17054504,,Contrasting patterns of historical colonization in white oaks (Quercus spp.) in California and Europe.,"Phylogeography allows the inference of evolutionary processes that have shaped the current distribution of genealogical lineages across a landscape. In this perspective, comparative phylogeographical analyses are useful in detecting common historical patterns by either comparing different species within the same area within a continent or by comparing similar species in different areas. Here, we analyse one taxon (the white oak, genus Quercus , subgenus Quercus , section Quercus ) that is widespread worldwide, and we evaluate its phylogeographical pattern on two different continents: western North America and Western Europe. The goals of the present study are: (i) to compare the chloroplast genetic diversity found in one California oak species vs. that found in the extensively studied European oak species (in France and the Iberian Peninsula); (ii) to contrast the geographical structure of haplotypes between these two taxa and test for a phylogeographical structure for the California species. For this purpose, we used the same six maternally inherited chloroplast microsatellite markers and a similar sampling strategy. The haplotype diversity within site as well as the differentiation among sites was alike in both taxa, but the Californian species has higher allelic richness with a greater number of haplotypes (39 vs. 11 in the European white oak complex). Furthermore, in California these 39 haplotypes are distributed locally in patches while in the European oaks haplotypes are distributed into lineages partitioned longitudinally. These contrasted patterns could indicate that gene movement in California oak populations have been more stable in response to past climatic and geological events, in contrast to their European counterparts.","Delphine Grivet,Delphine Grivet,Marie‐France Deguilloux,Marie-France Deguilloux,Rémy J. Petit,Rémy J. Petit,Victoria L. Sork,Victoria L. Sork",Molecular Ecology,2006
10.1098/rspb.2020.0102,32345167,,Taxonomic similarity does not predict necessary sample size for ex situ conservation: a comparison among five genera.,"Effectively conserving biodiversity with limited resources requires scientifically informed and efficient strategies. Guidance is particularly needed on how many living plants are necessary to conserve a threshold level of genetic diversity in ex situ collections. We investigated this question for 11 taxa across five genera. In this first study analysing and optimizing ex situ genetic diversity across multiple genera, we found that the percentage of extant genetic diversity currently conserved varies among taxa from 40% to 95%. Most taxa are well below genetic conservation targets. Resampling datasets showed that ideal collection sizes vary widely even within a genus: one taxon typically required at least 50% more individuals than another (though Quercus was an exception). Still, across taxa, the minimum collection size to achieve genetic conservation goals is within one order of magnitude. Current collections are also suboptimal: they could remain the same size yet capture twice the genetic diversity with an improved sampling design. We term this deficiency the 'genetic conservation gap'. Lastly, we show that minimum collection sizes are influenced by collection priorities regarding the genetic diversity target. In summary, current collections are insufficient (not reaching targets) and suboptimal (not efficiently designed), and we show how improvements can be made.","Sean Hoban,Sean Hoban,Taylor Callicrate,Taylor Callicrate,John Roscoe Clark,John L. Clark,John W. Clark,Susan Deans,Susan Deans,Michael S. Dosmann,Michael S. Dosmann,Jeremie B. Fant,Jeremie B. Fant,Oliver Gailing,Oliver Gailing,Kayri Havens,Kayri Havens,Andrew L. Hipp,Andrew L. Hipp,Priyanka Kadav,Priyanka D. Kadav,Andrea T. Kramer,Andrea T. Kramer,Matthew S. Lobdell,Matthew Lobdell,Tracy M. Magellan,Tracy M. Magellan,Alan W. Meerow,Alan W. Meerow,Alan W. Meerow,Abby Meyer,Abby Meyer,Margaret R. Pooler,Margaret R. Pooler,Margaret R. Pooler,Margaret R. Pooler,Vanessa Sánchez,Vanessa Sanchez,Emma Spence,Emma Spence,Patrick Thompson,Patrick Thompson,Raakel Toppila,Raakel Toppila,Seana K. Walsh,Seana K. Walsh,Murphy Westwood,Murphy Westwood,Jordan Wood,Jordan Wood,M. Patrick Griffith,M. Patrick Griffith",Proceedings of the Royal Society B: Biological Sciences,2020
10.1093/treephys/tpw122,28008082,,"Whole-transcriptome response to water stress in a California endemic oak, Quercus lobata","Reduced water availability during drought can create major stress for many plant species. Within a species, populations with a history of seasonal drought may have evolved the ability to tolerate drought more than those in areas of high precipitation and low seasonality. In this study, we assessed response to water stress in a California oak species, Quercus lobata Nee, by measuring changes in gene expression profiles before and after a simulated drought stress treatment through water deprivation of seedlings in a greenhouse setting. Using whole-transcriptome sequencing from nine samples from three collection localities, we identified which genes are involved in response to drought stress and tested the hypothesis that seedlings sampled from climatically different regions of the species range respond to water stress differently. We observed a surprisingly massive transcriptional response to drought: 35,347 of 68,434 contigs (52%) were differentially expressed before versus after drought treatment, of which 18,111 were down-regulated and 17,236 were up-regulated. Genes functionally associated with abiotic stresses and death were enriched among the up-regulated genes, whereas metabolic and cell part-related genes were enriched among the down-regulated. We found 56 contigs that exhibited significantly different expression responses to the drought treatment among the three populations (treatment × population interaction), suggesting that those genes may be involved in local adaptation to drought stress. These genes have stress response (e.g., WRKY DNA-binding protein 51 and HSP20-like chaperones superfamily protein), metabolic (e.g., phosphoglycerate kinase and protein kinase superfamily protein), transport/transfer (e.g., cationic amino acid transporter 7 and K⁺ transporter) and regulatory functions (e.g., WRKY51 and Homeodomain-like transcriptional regulator). Baseline expression levels of 1310 unique contigs also differed among pairs of populations, and they were enriched for metabolic and cell part-related genes. Out of the large fraction of the transcriptome that was differentially expressed in response to our drought treatment, we identified several novel genes that are candidates for involvement in local adaptation to drought.","Paul F. Gugger,Paul F. Gugger,Juan Manuel Peñaloza‐Ramírez,Juan Manuel Peñaloza-Ramírez,Juan Manuel Peñaloza-Ramírez,Juan Manuel Peñaloza-Ramírez,Juan Manuel Peñaloza-Ramírez,Jessica W. Wright,Jessica W. Wright,Victoria L. Sork,Victoria L. Sork",Tree Physiology,2016
10.1093/jhered/esy011,29509902,,Contrasting Patterns of Population History and Seed-mediated Gene Flow in Two Endemic Costa Rican Oak Species,"Lower Central America is an important area to study recent population history and diversification of Neotropical species due to its complex and dynamic geology and climate. Phylogeographic studies in this region are few in comparison with other regions and even less for tree species. The aim of the present study was to characterize the phylogeographic structure in 2 partially co-distributed endemic oak species (Quercus costaricensis and Q. bumelioides) of the Costa Rican mountains using chloroplast short sequence repeats (cpSSRs), and to test for the effect of geological and palaeoclimatic processes on their population history. Genetic diversity and structure, haplotype networks, patterns of seed-mediated gene flow and historical demography were estimated for both species. Results suggested contrasting patterns. Quercus costaricensis exhibited high values of genetic diversity, a marked phylogeographic structure, a north-to-south genetic diversity gradient and evidence of a demographic expansion during the Quaternary. Quercus bumelioides did not show significant genetic structure and the haplotype network and historical demography estimates suggested a recent population expansion probably during the Pleistocene-Holocene transition. The phylogeographic structure of Q. costaricensis seems to be related to Pleistocene altitudinal migration due to its higher altitudinal distribution. Meanwhile, historical seed-mediated gene flow through the lower altitudinal distribution of Q. bumelioides may have promoted the homogenization of genetic variation. Population expansion and stable availability of suitable climatic areas in both species probably indicate that palaeoclimatic changes promoted downwards altitudinal migration and formation of continuous forests allowing oak species to expand their distribution into the Panamanian mountains during glacial stages.","Hernando Rodríguez‐Correa,Hernando Rodríguez-Correa,Ken Oyama,Ken Oyama,Maurício Quesada,Mauricio Quesada,Eric J. Fuchs,Eric J. Fuchs,Antonio González‐Rodríguez,Antonio González-Rodríguez",Journal of Heredity,2018
10.1093/jhered/esae002,,,"The genome assembly of Island Oak (Quercus tomentella), a relictual island tree species","Island oak (Quercus tomentella) is a rare relictual island tree species that exists only on six islands off the coast of California and Mexico, but was once widespread throughout mainland California. Currently, this species is endangered by threats such as non-native plants, grazing animals, and human removal. Efforts for conservation and restoration of island oak currently underway could benefit from information about its range-wide genetic structure and evolutionary history. Here we present a high-quality genome assembly for Q. tomentella, assembled using PacBio HiFi and Omni-C sequencing, developed as part of the California Conservation Genomics Project (CCGP). The resulting assembly has a length of 781 Mb, with a contig N50 of 22.0 Mb and a scaffold N50 of 63.4 Mb. This genome assembly will provide a resource for genomics-informed conservation of this rare oak species. Additionally, this reference genome will be the first one available for a species in Quercus section Protobalanus, a unique oak clade present only in western North America.","Alayna Mead,Sorel T Fitz-Gibbon,Merly Escalona,Eric Beraut,Samuel Sacco,Mohan P A Marimuthu,Oanh Nguyen,Victoria L Sork",Journal of Heredity,2024
10.1093/jhered/esab053,34508641,,Ancient introgression between distantly related white oaks (Quercus sect Quercus) shows evidence of climate-associated asymmetric gene exchange.,"Ancient introgression can be an important source of genetic variation that shapes the evolution and diversification of many taxa. Here, we estimate the timing, direction and extent of gene flow between two distantly related oak species in the same section (Quercus sect. Quercus). We estimated these demographic events using genotyping by sequencing data (GBS), which generated 25,702 single nucleotide polymorphisms (SNPs) for 24 individuals of California scrub oak (Quercus berberidifolia) and 23 individuals of Engelmann oak (Q. engelmannii). We tested several scenarios involving gene flow between these species using the diffusion approximation-based population genetic inference framework and model-testing approach of the Python package DaDi. We found that the most likely demographic scenario includes a bottleneck in Q. engelmannii that coincides with asymmetric gene flow from Q. berberidifolia into Q. engelmannii. Given that the timing of this gene flow coincides with the advent of a Mediterranean-type climate in the California Floristic Province, we propose that changing precipitation patterns and seasonality may have favored the introgression of climate-associated genes from the endemic into the non-endemic California oak.","Scott T O'Donnell,Scott T O'Donnell,Sorel Fitz‐Gibbon,Sorel Fitz-Gibbon,Victoria L. Sork,Victoria L. Sork",Journal of Heredity,2021
10.1093/aob/mcad032,36805162,,Niche evolution in a northern temperate tree lineage: biogeographical legacies in cork oaks (<i>Quercus</i> section <i>Cerris</i>),"Cork oaks (Quercus section Cerris) comprise 15 extant species in Eurasia. Despite being a small clade, they display a range of leaf morphologies comparable to the largest sections (>100 spp.) in Quercus. Their fossil record extends back to the Eocene. Here, we explore how cork oaks achieved their modern ranges and how legacy effects might explain niche evolution in modern species of section Cerris and its sister section Ilex, the holly oaks.We inferred a dated phylogeny for cork and holly oaks using a reduced-representation next-generation sequencing method, restriction site-associated DNA sequencing (RAD-seq), and used D-statistics to investigate gene flow hypotheses. We estimated divergence times using a fossilized birth-death model calibrated with 47 fossils. We used Köppen profiles, selected bioclimatic parameters and forest biomes occupied by modern species to infer ancestral climatic and biotic niches.East Asian and Western Eurasian cork oaks diverged initially in the Eocene. Subsequently, four Western Eurasian lineages (subsections) differentiated during the Oligocene and Miocene. Evolution of leaf size, form and texture was correlated, in part, with multiple transitions from ancestral humid temperate climates to mediterranean, arid and continental climates. Distantly related but ecologically similar species converged on similar leaf traits in the process.Originating in temperate (frost-free) biomes, Eocene to Oligocene ranges of the primarily deciduous cork oaks were restricted to higher latitudes (Siberia to north of Paratethys). Members of the evergreen holly oaks (section Ilex) also originated in temperate biomes but migrated southwards and south-westwards into then-(sub)tropical southern China and south-eastern Tibet during the Eocene, then westwards along existing pre-Himalayan mountain ranges. Divergent biogeographical histories and deep-time phylogenetic legacies (in cold and drought tolerance, nutrient storage and fire resistance) thus account for the modern species mosaic of Western Eurasian oak communities, which are composed of oaks belonging to four sections.","Thomas Denk,Guido W. Grimm,Andrew L. Hipp,Johannes M. Bouchal,Ernst Detlef Schulze,Marco Cosimo Simeone",Annals of Botany,2023
10.1086/712783,,,Genetic Diversity Assessment of Ex Situ Collections of Endangered Quercus hinckleyi,"Premise of research.Conservation of imperiled plant species can benefit from ex situ collections, including the living collections of botanic gardens and arboreta. Such living collections should s...","Janet Rizner Backs,Janet Rizner Backs,Sean Hoban,Sean Hoban,Mary V. Ashley,Mary V. Ashley",International Journal of Plant Sciences,2021
10.1046/j.1365-294x.2002.01574.x,12207717,,"Pollen movement in declining populations of California Valley oak, Quercus lobata: where have all the fathers gone?","The fragmented populations and reduced population densities that result from human disturbance are issues of growing importance in evolutionary and conservation biology. A key issue is whether remnant individuals become reproductively isolated. California Valley oak ( Quercus lobata ) is a widely distributed, endemic species in California, increasingly jeopardized by anthropogenic changes in biota and land use. We studied pollen movement in a savannah population of Valley oak at Sedgwick Reserve, Santa Barbara County, to estimate effective number of pollen donors ( N ep ) and average distance of effective pollen movement ( δ ). Using TWOGENER , our recently developed hybrid model of paternity and genetic structure treatments that analyses maternal and progeny multilocus genotypes, we found that current N ep = 3.68 individuals. Based on an average adult density of d = 1.19 stems/ha, we assumed a bivariate normal distribution to model current average pollen dispersal distance ( δ δ δ ) and estimated δ = 64.8 m. We then deployed our parameter estimates in spatially explicit models of the Sedgwick population to evaluate the extent to which N ep may have changed, as a consequence of progressive stand thinning between 1944 and 1999. Assuming that pollen dispersal distance has not changed, we estimate N ep was 4.57 individuals in 1944, when stand density was 1.48. Both estimates indicate fewer effective fathers than one might expect for wind-pollinated species and fewer than observed elsewhere. The results presented here provide a basis for further refinements on modelling pollen movement. If the trends continue, then ongoing demographic attrition could further reduce neighbourhood size in Valley oak resulting in increased risk of reproductive failure and genetic isolation.","Victoria L. Sork,Victoria L. Sork,Frank W. Davis,Frank W. Davis,Peter E. Smouse,Peter E. Smouse,Victoria J. Apsit,V. J. Apsit,Rodney J. Dyer,Rodney J. Dyer,Juan F. Fernández-M.,J. F. Fernandez-M,Bill Kuhn,B. Kuhn",Molecular Ecology,2002
10.1038/sj.hdy.6800782,16369575,,Endemic North African Quercus afares Pomel originates from hybridisation between two genetically very distant oak species ( Q. suber L. and Q. canariensis Willd.): evidence from nuclear and cytoplasmic markers,Endemic North African  Quercus afares  Pomel originates from hybridisation between two genetically very distant oak species ( Q. suber  L. and  Q. canariensis  Willd.): evidence from nuclear and cytoplasmic markers,"Céline Mir,C Mir,Celine Mir,Lamjed Toumi,Lamjed Toumi,Philippe Jarne,Philippe Jarne,Violette Sarda,V. Sarda,F Di Giusto,F Di Giusto,R. Lumaret,Roselyne Lumaret",Heredity,2006
10.1016/j.foreco.2020.118819,,,Using multiple seedlots in restoration planting enhances genetic diversity compared to natural regeneration in fragmented tropical forests,"Abstract   Catastrophic degradation of forests is ongoing worldwide and leads to severe forest fragmentation. Restoration plantings are often necessary to restore fragmented forests, complementing the limited natural regeneration. High genetic diversity is critical for the long-term viability of restored forests. However, there is limited knowledge of whether planted populations capture a genetic variation comparable to natural populations. We measured the efficiency of two forest restoration strategies using the common tropical oak Quercus bambusifolia. The multi-seedlot planting was established over ten years by collecting seeds from several locations in fragmented secondary forests of Hong Kong, while the single seedlot planting was established in just one year with seeds from a single natural location. We analysed the genetic diversity and genetic structure from both plantings and compared them with natural populations. The multi-seedlot planting exhibited a higher rate of genetic recovery, greater genetic diversity (He=0.69), and higher effective population size (Ne_p=86.5) compared to natural populations (He=0.66, Ne_p=64.3, on average) and the single seedlot planting (He=0.50, Ne_p=30.8). The multi-seedlot planting erased the effect of seed shadows which was detected in natural populations while the single seedlot planting strengthened the effect. We conclude that capturing high levels of genetic diversity in the collection of propagules is a standard requirement to ensure the long-term viability of forest restoration. Propagule collection over multiple years is required when only a few parental trees are available to avoid founder effects.","Xueqin Zeng,Xueqin Zeng,Gunter A. Fischer,Gunter A. Fischer,Gunter A. Fischer,Gunter A. Fischer",Forest Ecology and Management,2021
10.1007/s12686-017-0977-9,,,Characterization of the complete plastid genome of Quercus sichourensis,"Quercus sichourensis is an endemic species in China, and is critically endangered. The complete plastid genome of Q. sichourensis was generated by Illumina pair-end sequencing in the current study. The whole plastome had a length of 160,681 bp, consisting of two copies of inverted repeat regions (25,835 bp), a large single copy region (90,154 bp) and a small single copy region (18,857 bp). The plastome encoded a total of 134 genes, comprising 86 protein-coding genes (79 PCG species), 40 tRNA genes (33 tRNA species), and 8 rRNA genes (4 rRNA species). The overall GC content of Q. sichourensis plastome is 36.9%. The maximum likelihood phylogenetic analysis based on 30 complete plastomes revealed that Q. sichourensis was strictly related to Quercus edithiae with 100% bootstrap support value.","Hailun Su,Yanci Yang,Miaomiao Ju,Huimin Li,Guifang Zhao",Conservation Genetics Resources,2019
10.1007/s12686-017-0848-4,,,Characterization of the complete plastid genome of Quercus tungmaiensis,"Quercus tungmaiensis is an endemic species to SE Tibet. The complete plastid genome of Q. tungmaiensis was generated by Illumina pair-end sequencing in the current study. The whole plastome had a length of 160,702 bp, consisting of two copies of inverted repeat regions (25,825 bp), a large single copy (LSC) region (90,113 bp) and a small single copy (SSC) region (18,939 bp). The plastome encoded a total of 134 genes, comprising 86 protein-coding genes (79 PCG species), 40 tRNA genes (33 tRNA species), and 8 rRNA genes (4 rRNA species). The overall GC content of Q. tungmaiensis plastome is 36.9%. The maximum likelihood phylogenetic analysis based on 34 complete plastomes revealed that Q. tungmaiensis was closely related to Quercus aquifolioides with 100% bootstrap support value.","Yanci Yang,Yanci Yang,Hao Zhang,Hao Zhang,Tao Ren,Ting Ren,Guifang Zhao,Guifang Zhao",Conservation Genetics Resources,
10.1007/s11295-016-1048-1,,,Conservation genetics of rare trees restricted to subtropical montane cloud forests in southern China: a case study from Quercus arbutifolia (Fagaceae),"Montane cloud forests (MCFs), with their isolated nature, offer excellent opportunities to study the long-term effects of habitat fragmentation and the impacts of climate change. Quercus arbutifolia is a rare oak in MCFs of southern China and Vietnam. Its isolated populations, small population size and unique ecological niche make this species vulnerable to climate change and habitat loss. In this study, we used chloroplast (cpDNA) and nuclear (ITS) DNA sequences to investigate genetic divergence patterns and demographic history of five of the six known populations of Q. arbutifolia. Considering its small population size and fragmentation, Q. arbutifolia has unexpectedly high genetic diversity. The time since the most recent common ancestor of all cpDNA haplotypes was c. 10.25 Ma, and the rapid diversification of haplotypes occurred during the Quaternary. The maximum clade credibility chronogram of cpDNA haplotypes suggests that the DM population (Daming Mountain, Guangxi province) diverged early and rapidly became isolated from other populations. The Pearl River drainage system may have been the main geographic barrier between DM and other populations since the late Miocene. ITS data suggests that population expansion occurred during the last interglacial of the Quaternary. The combined effects of pre-Quaternary and Quaternary climatic and geological changes were the main drivers to the current genetic diversity and distribution pattern of Q. arbutifolia. Because of the high between-population genetic differentiation and high within-population genetic diversity of Q. arbutifolia, conservation efforts should be implemented for all populations, but if conservation resources are limited, populations DM, YZ (Mang Mountain, Hunan province) and ZZ (Daqin Mountain, Fujian province) should have priority.","Jin Xu,Jin Xu,Xiao‐Long Jiang,Min Deng,Xiao-Long Jiang,Min Deng,Murphy Westwood,Yi‐Gang Song,Murphy Westwood,Gregor Kozlowski,Yi-Gang Song,Yi-Gang Song,Yi-Gang Song,Sisi Zheng,Si-Si Zheng",Tree Genetics & Genomes,2016
10.1007/s11258-017-0705-2,,,Effects of landscape features on gene flow of valley oaks (Quercus lobata).,"Landscape features affect habitat connectivity and patterns of gene flow and hence influence genetic structure among populations. We studied valley oak (Quercus lobata), a threatened species of California (USA) savannas and oak woodlands, with a distribution forming a ring around the Central Valley grasslands. Our main goal was to determine the role of topography and land cover on patterns of gene flow and to test whether elevation or land cover forms stronger barriers to gene flow among valley oak populations. We sampled valley oaks in 12 populations across the range of this species, genotyped each tree at eight nuclear microsatellite loci, and created a series of resistance surfaces by assigning different resistance values to land cover type and elevation. We also estimated recent migration rates and evaluated them with regard to landscape features. There was a significant but weak relationship between Euclidian distance and genetic distance. There was no relationship between genetic distances and land cover, but a significant relationship between genetic distances and elevation resistance. We conclude that gene flow is restricted by high elevations in the northern part of the valley oak range and by high elevations and the Central Valley further south. Migration rate analysis indicated some gene flow occurring east–west but we suggest that the high connectivity in the northern Central Valley is facilitating the formation of these links. We predict that southern populations may become more differentiated in the future through genetic isolation and local adaptation taking place in the face of climate change.","Maryam Gharehaghaji,Maryam Gharehaghaji,Emily S. Minor,Emily S. Minor,Mary V. Ashley,Mary V. Ashley,Saji Abraham,Saji Abraham,Walter D. Koenig,Walter D. Koenig",Plant Ecology,2017
10.1007/s10342-014-0839-x,,,Leaf morphological evidence of natural hybridization between two oak species (Quercus austrocochinchinensis and Q. kerrii) and its implications for conservation management,"Natural hybridization is known to be a potential threat to rare and endangered species due to the risk of extensive genetic swamping or assimilation. However, hybridization may also beneficial for rare species by increasing their genetic variation and adaptive potential. Quercus austrocochinchinensis is an endangered oak species that overlaps geographically with the common, widespread Q. kerrii. Morphological intermediates are common in contact zones between the species, suggesting interspecific hybridization. This phenomenon may lead to pure Q. austrocochinchinensis facing a larger threat. Given the importance of leaf morphology for hybrid identification in oaks, we characterized leaf morphological and anatomical features of pure populations of Q. kerrii and Q. austrocochinchinensis and a population of probable hybrids at the contact zone. The results demonstrate that (1) leaf morphological features of putative hybrids are stable and distinct from the parental taxa, and more similar to those of Q. kerrii; (2) anticlinal wall patterns of abaxial epidermal cells show the most significant differences between parental species and probable hybrids, providing an important character for species identification; and (3) putative hybrids were intermediate in leaf anatomical features between the two parental species. The leaf traits for identified Q. austrocochinchinensis, Q. kerrii and hybrids can be used to estimate the hybridization ratio at the contact zone. The morphological evidence, sympatry and phenology strongly suggest that the rare Q. austrocochinchinensis forms hybrids with the more widespread Q. kerrii. Natural hybridization might play an important future role in both migration and adaptation of the species to novel environments. Thus, the characters we identify here for diagnosing hybrids provide an important tool for conserving species and genetic diversity. We suggest that a management plan for Q. austrocochinchinensis should address the conservation of both of the pure species, investigation of gene flow dynamics in the hybrid zone and investigation of the impacts of gene flow on fitness of the two species.","Gregor Kozlowski,Yi‐Gang Song,Yi-Gang Song,Yi-Gang Song,Yi-Gang Song,Min Deng,Min Deng,Andrew L. Hipp,Andrew L. Hipp,Qiansheng Li,Qiansheng Li",European Journal of Forest Research,2015
10.1002/tax.592002,,,The oaks of western Eurasia: Traditional classifications and evidence from two nuclear markers,"Phylogenetic relationships among species of Quercus (oaks) from western Eurasia including the western part of the Himalayas are examined for the first time. Based on ITS and 5S-IGS data three major infrageneric groups are recognized for western Eurasia: the cerroid, iliciod, and roburoid oaks. While individuals of the cerroid and ilicoid groups cluster according to their species, particularly in the 5S-IGS analyses, individuals of species of roburoid oaks do not cluster with exception of Quercus pontica. The Cypriot endemic Quercus alnifolia belongs to the ilicoid oaks, in contrast to traditional views placing it within the cerroid oaks. Based on all ITS data available, the groups identified for western Eurasia can be integrated into a global infrageneric framework for Quercus. The Ilex group is resurrected as a well-defined group that comprises taxa traditionally placed into six subsections of Q. sects. Cerris and Lepidobalanus (white oaks) sensu Camus. Phylogenetic reconstructions suggest two major lineages within Quercus, each consisting of three infrageneric groups. Within the first lineage, the Quercus group (roburoid oaks in western Eurasia) and the Lobatae group evolved by ""budding"" as is reflected by incomplete lineage sorting, high variability within groups, and low differentiation among groups. The groups of the second lineage, including the Cyclobalanopsis, Cerris (cerroid oaks in western Eurasia), and Ilex (ilicoid oaks in western Eurasia) groups, evolved in a more tree-like fashion.","Thomas Denk,Thomas Denk,Guido W. Grimm,Guido W. Grimm",Taxon,2010
10.1002/ajb2.1315,31216071,,Influence of a climatic gradient on genetic exchange between two oak species.,"PREMISE: In plant groups with limited intrinsic barriers to gene flow, it is thought that environmental conditions can modulate interspecific genetic exchange. Oaks are known for limited barriers to gene flow among closely related species. Here, we use Quercus as a living laboratory in which to pursue a fundamental question in plant evolution: Do environmental gradients restrict or promote genetic exchange between species? METHODS: We focused on two North American oaks, the rare Quercus dumosa and the widespread Q. berberidifolia. We sampled intensively along a contact zone in California, USA. We sequenced restriction site-associated DNA markers and measured vegetative phenotype. We tested for genetic exchange, the association with climate, and the effect on phenotype. RESULTS: There is evidence for genetic exchange between the species. Admixed plants are found in areas of intermediate climate, while less admixed plants are found at the extremes of the climatic gradient. Genetic and phenotypic patterns are out of phase in the contact zone; some plants display the phenotype of one species but are genetically associated with another. CONCLUSIONS: Our results support the hypothesis that a strong climatic gradient can promote genetic exchange between species. The overall weak correlation between genotype and phenotype in the contact zone between the species suggests that genetic exchange can lead to the breakdown of trait combinations used to define species. This incongruency predicts ongoing problems for conservation of Q. dumosa, with implications for conservation of other oaks.","Dylan O. Bürge,Dylan O. Burge,V. Thomas Parker,V. Thomas Parker,Margaret R. Mulligan,Margaret Mulligan,Victoria L. Sork,Victoria L. Sork",American Journal of Botany,2019
