Quercus_species,UICN,Quercus section,Quercus subgenus,AI keywords,Theme,Tags,Year,Title,Authors,Full Citation,In-Text Citation,Item Type,Reading Status,Name,# Samples,DNA extraction protocol,Restriction Enzymes,Plataform,Sequencing Paired or Single,Microsatellites,Country distribution,Resumen,Affiliations,Source Title,In the paper,Sample,My Comments,Abstract,Property,Relevance,Cover,Problem or Purpose,Theoretical/Conceptual Framework,Methods,Key Findings,Recommendations,Related References,Due Date,Own?,Date,Editors,File Path,DOI,URL,Zotero URI
Quercus schottkyana,LC,Cyclobalanopsis,,"Conservation Genomics and Genetics of Quercus, Quercus Conservation Genetics and Genomics, Quercus Genomics and Conservation Genetics",,"Climate change, Demographic history, Landscape genomics, forest dynamics, genomic vulnerability, quercus",2021,Genomic signals reveal past evolutionary dynamics of Quercus schottkyana and its response to future climate change,"Jiang, Xiao-Long
Su, Zhi-Hao
Xu, Gang-Biao
Deng, Min","Jiang, X.-L., Su, Z.-H., Xu, G.-B., & Deng, M. (2021). Genomic signals reveal past evolutionary dynamics of Quercus schottkyana and its response to future climate change. Journal of Systematics and Evolution, 59(5), 985–997. https://doi.org/10.1111/jse.12703","(Jiang et al., 2021)",Artículo de revista académica,,"Jiang et al., 2021",,,,,,,,"This study investigates the evolutionary dynamics of Quercus schottkyana, a dominant tree species in southwest China, and its response to past environmental fluctuations and future climate change. Genomic data analysis reveals population divergence driven by geological events and introgression due to climatic fluctuations. The study also identifies the most vulnerable populations to future climate change and suggests using a mixture of local and alien seeds for forest restoration and management in the northern Jinsha River basin.","Affiliation:
Xiao-Long Jiang, Zhi-Hao Su, Gang-Biao Xu, and Min Deng are affiliated with the Key Laboratory of Forest Genetics and Biotechnology, Ministry of Education, Nanjing Forestry University, Nanjing, China.",Journal of Systematics and Evolution,,,,"Understanding the past and future evolutionary dynamics of dominant species in a forest is important for guiding decisions for biodiversity conservation, forest management, and vegetation restoration. This study used Quercus schottkyana, a dominant tree in subtropical evergreen broad-leaved forests in southwest China, to investigate the influences of past environmental fluctuations and future changes in climate on the dynamics of tree demographics. Genomic data were obtained for 133 samples of Q. schottkyana from 22 populations using double-digest genotyping by sequencing. The single-nucleotide polymorphisms in the genome showed a uniform distribution. Based on principal component analysis and Admixture analysis, two distinct lineages and one mixed group were identified that corresponded to their geographical distribution. Approximate Bayesian computation analyses provided evidence that the divergence among Q. schottkyana populations could be driven by the collision between the Asian and Indian plates during the Miocene, and that climatic fluctuations in the late Pleistocene led to the introgression. The analysis of genotype-environment relationships showed that annual precipitation and geographic distance were associated with spatial genetic variation. Populations of Q. schottkyana in the northern area of the Jinsha River basin were predicted to be the most vulnerable to future climate change. To increase genetic diversity in the northern Jinsha River basin and to buffer threats from future climate change, managers could use a mixture of local and alien seeds during forest restoration and management. This case study can promote further investigations into assessing how past and future climate change impacts genetic divergence and local adaptation of trees in forests.",,,,,,,,,,,,2021,,/Users/nelly/Zotero/storage/9DC8NW2S/jse.html,https://doi.org/10.1111/jse.12703,https://onlinelibrary.wiley.com/doi/abs/10.1111/jse.12703,https://zotero.org/elly_pc/items/LCSKYXPP
"Quercus glauca, Cyclobalanopsis glauca",,,,"Quercus Conservation Genetics, conservation genetics, conservation genomics",,"Cyclobalanopsis glauca, Janzen–Connell hypothesis, adult recruitment, conspecific density dependence, effective dispersal kernel, plant population and community dynamics, spatial genetic structure",2021,Genetic tracking of density-dependent adult recruitment: A case study in a subtropical oak,"Tong, Xin
Nason, John D.
Ding, Yuan-Yuan
Chen, Xiao-Yong","Tong, X., Nason, J. D., Ding, Y.-Y., & Chen, X.-Y. (2021). Genetic tracking of density-dependent adult recruitment: A case study in a subtropical oak. Journal of Ecology, 109(6), 2317–2328. https://doi.org/10.1111/1365-2745.13639","(Tong et al., 2021)",Artículo de revista académica,,"Tong et al., 2021",,,,,,,,"This study by Tong et al. (2021) investigates density-dependent adult recruitment in Cyclobalanopsis glauca trees. By integrating dispersal kernels and fine-scale spatial genetic structure (FSGS), the researchers found that the transition from seedlings to adults in C. glauca is primarily regulated by positive density dependence rather than negative density dependence predicted by the Janzen-Connell hypothesis. These findings highlight the importance of considering mechanisms at different life stages in understanding long-term population and community dynamics.","The authors are affiliated with the following institution:

- Tong, Xin: Key Laboratory for Plant Diversity and Biogeography of East Asia, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming, China
- Nason, John D.: Department of Evolution, Ecology, and Organismal Biology, The Ohio State University, Columbus, OH, USA
- Ding, Yuan-Yuan: Key Laboratory for Plant Diversity and Biogeography of East Asia, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming, China
- Chen, Xiao-Yong: Key Laboratory for Plant Diversity and Biogeography of East Asia, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming, China

You can find more information about their affiliation in the full citation of the article.

https://doi.org/10.1111/1365-2745.13639",Journal of Ecology,,,,"Density-dependent recruitment is fundamental to understanding species diversity and community dynamics in plants. Although there is compelling evidence that seeds and seedlings die from conspecific negative density dependence (CNDD) as predicted by the Janzen–Connell hypothesis, characterising adult recruitment remains a challenge for long-living trees. Previous studies have used the decrease in fine-scale spatial genetic structure (FSGS) across life stages to indicate CNDD; however, this has not been tested rigorously. We addressed these challenges by integrating dispersal kernels and FSGS. To establish links between density dependence and FSGS, we simulated seedlings based on the estimated dispersal kernels from parentage analyses, and further simulated adults under various seedling-to-adult recruitment scenarios, using an individual-based spatially explicit model. We tested this method in an isolated Cyclobalanopsis glauca population on China's Dajinshan Island. We detected significant FSGS in the seedlings and weaker, though also significant, FSGS in the adults. As expected, the observed FSGS of seedlings was well predicted by the simulated seedlings, with observations falling inside the 95% confidence envelopes over all distance classes. However, the simulations showed that CNDD enhanced the FSGS while positive density dependence dampened it during the seedling-to-adult transition. The adult FSGS of our population was therefore explained by positive rather than negative density-dependent adult recruitment. Synthesis. Our study demonstrates that the change of FSGS in conjunction with dispersal-based model tests can offer a valuable insight into density-dependent adult recruitment. The results indicate that the transitions from seedlings to adults in C. glauca are dominantly regulated not by Janzen–Connell effects, but by processes of positive density dependence. More broadly, the findings may provide a caution against extrapolations of widespread Janzen–Connell effects in seeds and seedlings to adult recruits, underscoring a critical gap between mechanisms at early stages and long-term population and community dynamics.",,,,,,,,,,,,2021,,/Users/nelly/Zotero/storage/EBNSND7A/Tong et al. - 2021 - Genetic tracking of density-dependent adult recrui.pdf,https://doi.org/10.1111/1365-2745.13639,https://onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13639,https://zotero.org/elly_pc/items/IG2X56XV
"Quercus berberidifolia, Quercus engelmannii",,Quercus,Quercus,"Quercus Conservation Genetics and Genomics, Quercus Conservation Genomics and Genetics, Quercus Genomics and Conservation Genetics",,,2021,Ancient Introgression Between Distantly Related White Oaks (Quercus sect. Quercus) Shows Evidence of Climate-Associated Asymmetric Gene Exchange,"O’Donnell, Scott T
Fitz-Gibbon, Sorel T
Sork, Victoria L","O’Donnell, S. T., Fitz-Gibbon, S. T., & Sork, V. L. (2021). Ancient Introgression Between Distantly Related White Oaks (Quercus sect. Quercus) Shows Evidence of Climate-Associated Asymmetric Gene Exchange. Journal of Heredity, 112(7), 663–670. https://doi.org/10.1093/jhered/esab053","(O’Donnell et al., 2021)",Artículo de revista académica,,"O’Donnell et al., 2021",,,,,,,,"In a study by O'Donnell et al. (2021), the authors investigated ancient introgression between two distantly related oak species, Quercus berberidifolia and Quercus engelmannii. Using genotyping by sequencing data, they found evidence of asymmetric gene flow from Q. berberidifolia into Q. engelmannii, coinciding with a bottleneck in Q. engelmannii. This introgression of climate-associated genes may have been favored by changing precipitation patterns and seasonality in the California Floristic Province.",The affiliation of the authors is not mentioned in the provided text.,Journal of Heredity,,,,"Ancient introgression can be an important source of genetic variation that shapes the evolution and diversification of many taxa. Here, we estimate the timing, direction, and extent of gene flow between two distantly related oak species in the same section (Quercus sect. Quercus). We estimated these demographic events using genotyping by sequencing data, which generated 25 702 single nucleotide polymorphisms for 24 individuals of California scrub oak (Quercus berberidifolia) and 23 individuals of Engelmann oak (Quercus engelmannii). We tested several scenarios involving gene flow between these species using the diffusion approximation-based population genetic inference framework and model-testing approach of the Python package DaDi. We found that the most likely demographic scenario includes a bottleneck in Q. engelmannii that coincides with asymmetric gene flow from Q. berberidifolia into Q. engelmannii. Given that the timing of this gene flow coincides with the advent of a Mediterranean-type climate in the California Floristic Province, we propose that changing precipitation patterns and seasonality may have favored the introgression of climate-associated genes from the endemic into the non-endemic California oak.",,,,,,,,,,,,01/10/21,,/Users/nelly/Zotero/storage/8QI6ZL5N/O’Donnell et al. - 2021 - Ancient Introgression Between Distantly Related Wh.pdf,https://doi.org/10.1093/jhered/esab053,https://doi.org/10.1093/jhered/esab053,https://zotero.org/elly_pc/items/BLELQ4Y4
"Quercus
hinckleyi",,,,"Quercus Conservation Genetics, conservation genetics, conservation genomics",,"BOTANICAL gardens, CONSERVATION of natural resources, Endangered Species, GENOTYPES, Microsatellites, PLANT species, Quercus hinckleyi, TEXAS, conservation genetics, endangered oaks, ex situ conservation, metacollection",2021,Genetic Diversity Assessment of Ex Situ Collections of Endangered Quercus hinckleyi,"Backs, Janet Rizner
Hoban, Sean
Ashley, Mary V.","Backs, J. R., Hoban, S., & Ashley, M. V. (2021). Genetic Diversity Assessment of Ex Situ Collections of Endangered Quercus hinckleyi. International Journal of Plant Sciences, 182(3), 220–228. https://doi.org/10.1086/712783","(Backs et al., 2021)",Artículo de revista académica,,"Backs et al., 2021",,,,,,,,"This study evaluates the genetic variation of the ex situ collection of the endangered oak species Quercus hinckleyi compared to the in situ population. The ex situ collection captures a significant portion of the allelic and genotypic diversity of the wild population, but there is still a gap in genetic diversity. Collecting seeds from other genetic clusters is recommended to enhance the ex situ collection's genetic diversity.",The affiliation of the authors is not mentioned in the document.,International Journal of Plant Sciences,,,,"Premise of research. Conservation of imperiled plant species can benefit from ex situ collections, including the living collections of botanic gardens and arboreta. Such living collections should strive to capture and maintain the genetic diversity found in the remaining wild populations. Ex situ collections may also harbor genetic variability that has been lost from wild populations. Quercus hinckleyi is an extremely rare (International Union for Conservation of Nature and Natural Resources [IUCN] Critically Endangered) oak known from a few sites in Presidio County, Texas. It is the only native US oak protected under the Endangered Species Act. Here we evaluate the genetic variation of the Q. hinckleyi ex situ metacollection relative to that of the remnant in situ population. Methodology. We apply microsatellite genotyping to Q. hinckleyi sampled from plants growing in ex situ collections (N = 22 , from nine gardens) and compare the results with genetic studies of the in situ population. We compare allelic diversity, genotypic diversity, and population structure. Pivotal results. The ex situ metacollection is small but has high allelic diversity and captures about 57% of the allelic diversity of the wild population. Ex situ plants contain 22 new alleles that contribute 13% of the species' total allelic diversity. All ex situ individuals have unique genotypes, none of which were found in situ, and thus they comprise 15% of the species' genotypic variation. The ex situ plants align with only one of three genetic clusters identified in situ, demonstrating an important gap in the ex situ metacollection. Conclusions. The ex situ collection of Q. hinckleyi , while small, is genetically diverse and provides additional allelic and genotypic diversity not currently existing in situ. However, a significant portion of genetic diversity is lacking from ex situ plants, with the metacollection likely derived from only one of the in situ clusters. Collecting seed from the other clusters is a high priority.",,,,,,,,,,,,2021/03//Mar/Apr2021,,/Users/nelly/Zotero/storage/68NN5EN6/Backs et al. - 2021 - Genetic Diversity Assessment of Ex Situ Collection.pdf,https://doi.org/10.1086/712783,http://pbidi.unam.mx:8080/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=148943928&lang=es&site=eds-live,https://zotero.org/elly_pc/items/GKQBF8QP
"Quercus franchetii
",,,,,,"Complete chloroplast genome, Fagaceae, Quercus franchetii",2021,The complete chloroplast genome sequence of Quercus franchetii Skan (Fagaceae),"Chen, Ke-Nan
Jiang, Xiao-Long
Yi, Rong","Chen, K.-N., Jiang, X.-L., & Yi, R. (2021). The complete chloroplast genome sequence of Quercus franchetii Skan (Fagaceae). Mitochondrial DNA Part B, 6(10), 2977–2978. https://doi.org/10.1080/23802359.2021.1975515","(Chen et al., 2021)",Artículo de revista académica,,"Chen et al., 2021",,,,,,,,"This study presents the assembly and characterization of the complete chloroplast genome of Quercus franchetii, a crucial indicator plant in southwestern China. The genome is 160,785 bp in length and contains 131 annotated genes. Phylogenetic analysis shows that Q. franchetii is closely related to Q. glauca and Q. chungii. The full citation for this article is Chen, K.-N., Jiang, X.-L., & Yi, R. (2021). The complete chloroplast genome sequence of Quercus franchetii Skan (Fagaceae). Mitochondrial DNA Part B, 6(10), 2977–2978. https://doi.org/10.1080/23802359.2021.1975515.","The affiliation of the authors, Chen Ke-Nan, Jiang Xiao-Long, and Yi Rong, is not mentioned in the document.",Mitochondrial DNA Part B,,,,"Quercus franchetii Skan, a crucial indicator plant of dry-hot valley with endemic to southwestern China. In this study, the complete chloroplast genome of Q. franchetii was assembled and characterized. The circular genome was 160,785 bp in length, containing a large single copy (LSC) region of 90,169 bp, a small single copy (SSC) region of 18,828 bp, and a pair of inverted repeat regions of 25,894 bp. Total 131 genes were annotated, comprising 86 protein-coding genes, 37 tRNA genes, and 8 rRNA genes. The phylogenetic analysis indicated that Q. franchetii was closely related to Q. glauca and Q. chungii.",,,,,,,,,,,,03/10/21,,/Users/nelly/Zotero/storage/QSSN7E6D/Chen et al. - 2021 - The complete chloroplast genome sequence of Quercu.pdf,https://doi.org/10.1080/23802359.2021.1975515,https://doi.org/10.1080/23802359.2021.1975515,https://zotero.org/elly_pc/items/HZAY4W2E
Quercus chungii,,,,"Quercus, Quercus Conservation Genetics and Genomics",,"Chloroplast genome, Fagaceae, Quercus chungii, ring-cup oak",2021,The complete chloroplast genome sequence of Quercus chungii (Fagaceae),"Jiang, Xiao-Long
Mou, Hong-Lin
Luo, Chang-Sha
Xu, Gang-Biao","Jiang, X.-L., Mou, H.-L., Luo, C.-S., & Xu, G.-B. (2021). The complete chloroplast genome sequence of Quercus chungii (Fagaceae). Mitochondrial DNA Part B, 6(7), 1789–1790. https://doi.org/10.1080/23802359.2021.1931505","(Jiang et al., 2021)",Artículo de revista académica,,"Jiang et al., 2021",,,,,,,,"This study presents the assembly and annotation of the complete chloroplast genome of Quercus chungii, a rare oak endemic to southern China. The genome has a quadripartite structure and encodes 113 unique genes. Phylogenetic analysis shows that Q. chungii is closely related to Q. myrsinifolia and Q. sichourensis. The findings are published in the journal Mitochondrial DNA Part B.",The affiliation of the authors is not mentioned in the provided document.,Mitochondrial DNA Part B,,,,"Quercus chungii F.P.Metcalf, a rare oak with endemic to southern China, belongs to the compound trichome base (CTB) lineage in the Cyclobalanopsis section. The complete chloroplast genome of the species was assembled and annotated in this study. The circular genome was 160,731 bp in size, presenting a typical quadripartite structure including one large single-copy region (LSC, 90,140 bp), one small single-copy region (SSC, 18,911 bp), and two copies of inverted repeat regions (IRs, 25,840 bp). It encoded a total of 113 unique genes, including 79 protein-coding genes, 30 tRNA genes, and four rRNA genes. The maximum-likelihood (ML) phylogenetic tree reconstructed by IQ-TREE indicated that Q. chungii was more closely related to Q. myrsinifolia and Q. sichourensis.",,,,,,,,,,,,03/07/21,,/Users/nelly/Zotero/storage/XYCFMKBU/Jiang et al. - 2021 - The complete chloroplast genome sequence of Quercu.pdf,https://doi.org/10.1080/23802359.2021.1931505,https://doi.org/10.1080/23802359.2021.1931505,https://zotero.org/elly_pc/items/YI7763SC
Quercus acuta,,,,Quercus Conservation Genetics and Genomics,,"Complete plastid genome, Cyclobalanopsis, Phylogenetic analysis, Quercus acuta, evergreen broad-leaved oak",2021,"The complete plastid genome sequence of Quercus acuta (Fagaceae), an evergreen broad-leaved oak endemic to East Asia","Cho, Won-Bum
Han, Eun-Kyeong
Choi, In-Su
Kwak, Myounghai
Kim, Jung-Hyun
Kim, Bo-Yun
Lee, Jung-Hyun","Cho, W.-B., Han, E.-K., Choi, I.-S., Kwak, M., Kim, J.-H., Kim, B.-Y., & Lee, J.-H. (2021). The complete plastid genome sequence of Quercus acuta (Fagaceae), an evergreen broad-leaved oak endemic to East Asia. Mitochondrial DNA Part B, 6(2), 320–322. https://doi.org/10.1080/23802359.2020.1866449","(Cho et al., 2021)",Artículo de revista académica,,"Cho et al., 2021",,,,,,,,"This document reports the complete plastid genome sequence of Quercus acuta, an evergreen broad-leaved oak endemic to East Asia. The plastome is 160,522 base pairs long, with two inverted repeat regions separating a large single copy region and a small single copy region. Phylogenetic analysis shows that Quercus acuta is closely related to Quercus sichourensis.","Affiliation: Department of Biology, University of East Asia, South Korea",Mitochondrial DNA Part B,,,,"We are reporting the complete plastid genome (plastome) of Quercus acuta, an evergreen broad-leaved oak endemic to East Asia. This species is important for maintaining the warm-temperate evergreen forest biome in East Asia. The Q. acuta plastome is 160,522 base pairs (bp) long, with two inverted repeat (IR) regions (25,839 bp each) that separate a large single copy (LSC) region (90,199 bp) and a small single copy (SSC) region (18,645 bp). The phylogenetic tree shows that Quercus acuta is closely related to Quercus sichourensis with strong bootstrap support.",,,,,,,,,,,,01/02/21,,/Users/nelly/Zotero/storage/ASYAA6JA/Cho et al. - 2021 - The complete plastid genome sequence of Quercus ac.pdf,https://doi.org/10.1080/23802359.2020.1866449,https://doi.org/10.1080/23802359.2020.1866449,https://zotero.org/elly_pc/items/377Q5PUX
Quercus,,,,"Quercus, Quercus Conservation Genetics and Genomics",,"Betulaceae, Chloroplast capture, Juglandaceae, Myricaceae, phylogenetics",2021,Plastid phylogenomic analyses of Fagales reveal signatures of conflict and ancient chloroplast capture,"Yang, Ying-Ying
Qu, Xiao-Jian
Zhang, Rong
Stull, Gregory W.
Yi, Ting-Shuang","Yang, Y.-Y., Qu, X.-J., Zhang, R., Stull, G. W., & Yi, T.-S. (2021). Plastid phylogenomic analyses of Fagales reveal signatures of conflict and ancient chloroplast capture. Molecular Phylogenetics and Evolution, 163, 107232. https://doi.org/10.1016/j.ympev.2021.107232","(Yang et al., 2021)",Artículo de revista académica,,"Yang et al., 2021",,,,,,,,"Plastid phylogenomic analyses of Fagales reveal conflicting relationships and ancient chloroplast capture, providing insights into the phylogeny of the order. The study highlights the sensitivity of plastid phylogenomics to genic composition and suggests extensive introgression and chloroplast capture in the early diversification of Quercus and Quercoideae.",The affiliation of the authors is not provided in the given text.,"The paper was published in the journal ""Molecular Phylogenetics and Evolution"".",,,,"Plastid phylogenomic analyses have shed light on many recalcitrant relationships across the angiosperm Tree of Life and continue to play an important role in plant phylogenetics alongside nuclear data sets given the utility of plastomes for revealing ancient and recent introgression. Here we conduct a plastid phylogenomic study of Fagales, aimed at exploring contentious relationships (e.g., the placement of Myricaceae and some intergeneric relationships in Betulaceae, Juglandaceae, and Fagaceae) and dissecting conflicting phylogenetic signals across the plastome. Combining 102 newly sequenced samples with publically available plastomes, we analyzed a dataset including 256 species and 32 of the 34 total genera of Fagales, representing the largest plastome-based study of the order to date. We find strong support for a sister relationship between Myricaceae and Juglandaceae, as well as strongly supported conflicting signal for alternative generic relationships in Betulaceae and Juglandaceae. These conflicts highlight the sensitivity of plastid phylogenomic analyses to genic composition, perhaps due to the prevalence of uninformative loci and heterogeneity in signal across different regions of the plastome. Phylogenetic relationships were geographically structured in subfamily Quercoideae, with Quercus being non-monophyletic and its sections forming clades with co-distributed Old World or New World genera of Quercoideae. Compared against studies based on nuclear genes, these results suggest extensive introgression and chloroplast capture in the early diversification of Quercus and Quercoideae. This study provides a critical plastome perspective on Fagales phylogeny, setting the stage for future studies employing more extensive data from the nuclear genome.",,,,,,,,,,,,01/10/21,,/Users/nelly/Zotero/storage/EMF97NPT/S1055790321001652.html,https://doi.org/10.1016/j.ympev.2021.107232,https://www.sciencedirect.com/science/article/pii/S1055790321001652,https://zotero.org/elly_pc/items/GRH9H69N
Quercus bambusifolia,,,,Quercus Conservation Genetics and Genomics,,"Genetic diversity, Multiple seedlots, Natural regeneration, Restoration planting, Single seedlot, genetic structure, tropical forest",2021,Using multiple seedlots in restoration planting enhances genetic diversity compared to natural regeneration in fragmented tropical forests,"Zeng, Xueqin
Fischer, Gunter A.","Zeng, X., & Fischer, G. A. (2021). Using multiple seedlots in restoration planting enhances genetic diversity compared to natural regeneration in fragmented tropical forests. Forest Ecology and Management, 482, 118819. https://doi.org/10.1016/j.foreco.2020.118819","(Zeng & Fischer, 2021)",Artículo de revista académica,,"Zeng & Fischer, 2021",,,,,,,,"This study compares the genetic diversity and structure of two forest restoration strategies using the tropical oak Quercus bambusifolia. The multi-seedlot planting, established over ten years with seeds from various locations, exhibited higher genetic diversity and effective population size compared to natural populations and the single seedlot planting. The study concludes that capturing high levels of genetic diversity in propagule collection is crucial for the long-term viability of forest restoration.","Zeng, Xueqin - The University of Hong Kong, Hong Kong SAR, China
Fischer, Gunter A. - The University of Hong Kong, Hong Kong SAR, China","The paper was published in the journal ""Forest Ecology and Management"".",,,,"Catastrophic degradation of forests is ongoing worldwide and leads to severe forest fragmentation. Restoration plantings are often necessary to restore fragmented forests, complementing the limited natural regeneration. High genetic diversity is critical for the long-term viability of restored forests. However, there is limited knowledge of whether planted populations capture a genetic variation comparable to natural populations. We measured the efficiency of two forest restoration strategies using the common tropical oak Quercus bambusifolia. The multi-seedlot planting was established over ten years by collecting seeds from several locations in fragmented secondary forests of Hong Kong, while the single seedlot planting was established in just one year with seeds from a single natural location. We analysed the genetic diversity and genetic structure from both plantings and compared them with natural populations. The multi-seedlot planting exhibited a higher rate of genetic recovery, greater genetic diversity (He = 0.69), and higher effective population size (Ne_p = 86.5) compared to natural populations (He = 0.66, Ne_p = 64.3, on average) and the single seedlot planting (He = 0.50, Ne_p = 30.8). The multi-seedlot planting erased the effect of seed shadows which was detected in natural populations while the single seedlot planting strengthened the effect. We conclude that capturing high levels of genetic diversity in the collection of propagules is a standard requirement to ensure the long-term viability of forest restoration. Propagule collection over multiple years is required when only a few parental trees are available to avoid founder effects.",,,,,,,,,,,,15/02/21,,/Users/nelly/Zotero/storage/87SJ3P22/S0378112720315887.html,https://doi.org/10.1016/j.foreco.2020.118819,https://www.sciencedirect.com/science/article/pii/S0378112720315887,https://zotero.org/elly_pc/items/87P5CFGT
"Quercus robur, Quercus petraea, Quercus mongolica",,,,"Quercus Conservation Genetics, conservation genetics, conservation genomics",,"Indel, Quercus petraea, Quercus robur, Single nucleotide polymorphism, Targeted genotyping by sequencing",2021,Applying targeted genotyping by sequencing with a new set of nuclear and plastid SNP and indel loci for Quercus robur and Quercus petraea,"Degen, Bernd
Blanc-Jolivet, Celine
Bakhtina, Svetlana
Ianbaev, Ruslan
Yanbaev, Yulai
Mader, Malte
Nürnberg, Sabine
Schröder, Hilke","Degen, B., Blanc-Jolivet, C., Bakhtina, S., Ianbaev, R., Yanbaev, Y., Mader, M., Nürnberg, S., & Schröder, H. (2021). Applying targeted genotyping by sequencing with a new set of nuclear and plastid SNP and indel loci for Quercus robur and Quercus petraea. Conservation Genetics Resources, 13(3), 345–347. https://doi.org/10.1007/s12686-021-01207-6","(Degen et al., 2021)",Artículo de revista académica,,"Degen et al., 2021",,,,,,,,The study by Degen et al. (2021) utilized targeted genotyping by sequencing to develop new nuclear and plastid SNP and indel loci for Quercus robur and Quercus petraea. The newly developed loci were successfully screened and found to be useful for species identification and genetic studies on the genetic diversity and differentiation of these oak species in Europe.,The authors' affiliation is not provided in the document.,Conservation Genetics Resources,,,,"We used Double Digest Restriction site associated DNA sequencing (ddRAD) and Miseq to develop new geographically informative nuclear and plastid SNP and indel loci in Quercus robur and Q. petraea. Genotypes derived from sequence data of 95 individuals and two pools of 20 individuals each of Q. robur and Q. mongolica covering the distribution range of the species, were analysed to select geographically informative and polymorphic loci within Germany and Russia. We successfully screened a selected set of 431 nuclear single nucleotide polymorphism (nSNP), six nuclear Indel, six mitochondrial single nucleotide polymorphism (mtSNP) and ten chloroplast single nucleotide polymorphism (cpSNP) loci with a SeqSNP genotyping platform on 100 individuals Quercus petraea from 10 locations in Germany, 100 individuals Quercus robur from ten locations in Germany and 100 individuals Quercus robur from ten locations in Russia. The newly developed loci are useful for species identification and genetic studies on the genetic diversity and genetic differentiation of Quercus robur and Quercus petraea in Europe.",,,,,,,,,,,,01/09/21,,/Users/nelly/Zotero/storage/233FIRHI/Degen et al. - 2021 - Applying targeted genotyping by sequencing with a .pdf,https://doi.org/10.1007/s12686-021-01207-6,https://doi.org/10.1007/s12686-021-01207-6,https://zotero.org/elly_pc/items/LWM8M56N
Quercus robur,,,,"Quercus Conservation Genetics, Quercus Genomics and Conservation Genetics, conservation genomics",,"Gene pool, Population, Quercus robur, Single nucleotide polymorphism",2021,Genetic diversity and differentiation among populations of the pedunculate oak (Quercus robur) at the eastern margin of its range based on a new set of 95 SNP loci,"Degen, Bernd
Yanbaev, Yulai
Ianbaev, Ruslan
Bakhtina, Svetlana
Tagirova, Albina","Degen, B., Yanbaev, Y., Ianbaev, R., Bakhtina, S., & Tagirova, A. (2021). Genetic diversity and differentiation among populations of the pedunculate oak (Quercus robur) at the eastern margin of its range based on a new set of 95 SNP loci. Journal of Forestry Research, 32(5), 2237–2243. https://doi.org/10.1007/s11676-020-01265-w","(Degen et al., 2021)",Artículo de revista académica,,"Degen et al., 2021",,,,,,,,"The study examines the genetic variability and differentiation among populations of pedunculate oak (Quercus robur) at the eastern margin of its range. Using new nuclear SNP loci, the study found relatively similar genetic diversity among seven populations, despite the reduction and fragmentation of oak forests. The absence of spatial genetic structure and the presence of genetically peculiar populations were observed. Genetic differentiation among populations was statistically significant, with contributions from specific regions. The complexity of migration routes and the multiplicity of local populations were identified as potential factors influencing the observed genetic patterns.",The authors' affiliation and the country of their university are not provided in the given information.,Journal of Forestry Research,,,,"The aim of this study is to determine the genetic variability and differentiation among populations of pedunculate oak (Quercus robur) at the eastern margin of the species distribution range. We applied new set of 95 geographically informative nuclear SNP (single nucleotide polymorphism) loci developed using Double Digest Restriction Site Associated DNA (ddRAD), a new generation DNA sequencing technology. The study area is located in the basins of the Volga River and its two main tributaries, Kama and Belaya. Despite the strong reduction and fragmentation of pedunculate oak forests over the last several centuries and comparatively small sizes of present stands, a relatively similar genetic diversity of seven populations was observed (on average, allelic diversity υа = 1.472–1.603, observed heterozygosity HO = 0.305–0.358, expected heterozygosity HE = 0.272–0.343). The genetic distances between populations vary between 0.102 and 0.170 (on average, d0 = 0.128). We have identified the absence of a spatial genetic structure and the existence of genetically peculiar populations in the territory studied. The genetic distances of Gregorius between populations vary between 0.102 and 0.170 (on average, d0 = 0.128). Genetic differentiation among populations was statistically significant with a mean of the fixation index FST of 0.075. Populations from the Privolzhye Upplands and from northern parts of the study area make the most contribution to overall inter-population differentiation (d0 = 0.137). No significant differences exist among the samples at lowlands along the Volga river (d0 = 0.110). It was concluded that the multiplicity and different ages of local populations and the complexity of migration routes of the pedunculate oak from Pleistocene refugia and secondary Holocene shelters can cause this phenomenon.",,,,,,,,,,,,01/10/21,,/Users/nelly/Zotero/storage/LFZKYCG8/Degen et al. - 2021 - Genetic diversity and differentiation among popula.pdf,https://doi.org/10.1007/s11676-020-01265-w,https://doi.org/10.1007/s11676-020-01265-w,https://zotero.org/elly_pc/items/X9TFET9V
